University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
College of Business,Business Administration,,,,1,Major Elective,2000,BIZ2126-01-00   ,3,PRINCIPLES OF BUSINESS FOR INNOVATION AND ENTREPRENEURSHIP ,,,,,Jung Dongil,"Thu2,3,4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⓒ⑭⒞",X
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4159-01-00   ,3,MANAGEMENT ETHICS AND SUSTAINABILITY MANAGEMENT FORUM ,,,,,Lee Ho Young/Min Soon Hong,"Wed5,6,7",BizHB204,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4167-01-00   ,3,SERVICE DESIGN ,,,,,Kim Jin Woo,"Thu8,9,10",BizH102,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4180-01-00   ,3,ORGANIZATIONAL LEARNING: OPPORTUNITY AND TRAP ,,,,,Rhee Mooweon,"Mon7,8,Wed8",BizH102,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4183-01-00   ,3,BUSINESS ETHICS AND CORPORATE SOCIAL RESPONSIBILITY: A PSYCHOLOGICAL APPROACH ,,,,,Guiral Andres,"Tue4,Thu5,6",BizHB203,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4183-02-00   ,3,BUSINESS ETHICS AND CORPORATE SOCIAL RESPONSIBILITY: A PSYCHOLOGICAL APPROACH ,,,,,Guiral Andres,"Tue7,Thu8,9",BizHB203,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4189-01-00   ,3,BUSINESS NEGOTIATIONS ,,,,,PARK Hun Joon,"Tue1,2,3",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, 19②⑦⒝",O
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4190-01-00   ,3,START UP 401: START UP CONSULTING-UCAN ,,,,,PARK KYUNGMIN,"Tue7,8,9",BizHB202,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4194-01-00   ,3,DATA MINING FOR BUSINESS ANALYTICS ,,,,,SON JAI YEOL,"Tue4/Thu5,6",Realtime online lecture/BizHB208,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
College of Business,Business Administration,,,,"3,4",Major Elective,4000,BIZ4197-01-00   ,3,CONSTANT CREATIVE INNOVATIONS AND THE 21ST CENTURY MANAGEMENT ,,,,,"SHIN, DONG YOUB","Thu8,9,10",BizH103,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
College of Business,Business Administration,,,,4,Major Elective,4000,BIZ4177-01-00   ,3,MARKETING STRATEGY MODEL ,,,,,Choi Jeonghye,"Tue7,8,9",BizHB208,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
